others,0,255
rover,1,255
sky,17,10
car,33,13
car_groups,161,13
motorbicycle,34,17
motorbicycle_group,162,17
bicycle,35,18
bicycle_group,163,18
person,36,11
person_group,164,11
rider,37,12
rider_group,165,12
truck,38,14
truck_group,166,14
bus,39,15
bus_group,167,15
tricycle,40,255
tricycle_group,168,255
road,49,0
siderwalk,50,1
traffic_cone,65,255
road_pile,66,0
fence,67,4
traffic_light,81,6
pole,82,5
traffic_sign,83,7
wall,84,3
dustbin,85,255
billboard,86,255
building,97,2
bridge,98,255
tunnel,99,255
overpass,100,255
vegetation,113,8
unlabeled,255,255